product_type;mission;level;origin_level;instrument;mode;type;groups;published_by;consumed_by
SY_1_MISR__;S3;L1_;L1_;Synergy;;;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
SY_2_SYN___;S3;L2_;L2_;Synergy;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SY_2_V10___;S3;L2_;L2_;Synergy;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SY_2_VG1___;S3;L2_;L2_;Synergy;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SY_2_VGP___;S3;L2_;L2_;Synergy;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SY_2_VGK___;S3;L2_;L2_;Synergy;;;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
SY_2_AOD___;S3;L2_;L2_;Synergy;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
TM_0_HKM___;S3;L0_;L0_;Telemetry Data;;;PRODUCT|L0;_|PRIP|LTA|_|_;_|_|LTA|_
TM_0_HKM2__;S3;L0_;L0_;Telemetry Data;;;PRODUCT|L0;_|PRIP|LTA|_|_;_|_|LTA|_
TM_0_NAT___;S3;L0_;L0_;Telemetry Data;;;PRODUCT|L0;_|PRIP|LTA|_|_;_|_|LTA|_
AUX_MOEORB;S3;AUX;AUX;;;;AUX;_|_|_|DA|_;_|PRIP|_|DA
AUX_POEORB;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;AUXIP|PRIP|LTA|DA
AUX_PRLPTF;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
AUX_PRCPTF;S3;AUX;AUX;;;;AUX;_|_|LTA|_|_;_|PRIP|LTA|_
AUX_GNSSRD;S3;AUX;AUX;;;;AUX;AUXIP|_|_|DA|_;AUXIP|_|_|DA
AUX_PROQUA;S3;AUX;AUX;;;;AUX;_|_|_|DA|_;_|_|_|DA
AX___MF1_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___MFA_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___MA1_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___MF2_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___MA2_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___OSF_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___FPO_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___FRO_AX;S3;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AX___DEM_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
